Model,Scenario,Member
AS-RCEC_TaiESM1,ssp245,r1i1p1f1
AS-RCEC_TaiESM1,ssp370,r1i1p1f1
AS-RCEC_TaiESM1,ssp585,r1i1p1f1
BCC_BCC-CSM2-MR,ssp245,r1i1p1f1
BCC_BCC-CSM2-MR,ssp370,r1i1p1f1
BCC_BCC-CSM2-MR,ssp585,r1i1p1f1
CAS_FGOALS-g3,ssp245,r1i1p1f1
CAS_FGOALS-g3,ssp370,r1i1p1f1
CAS_FGOALS-g3,ssp585,r1i1p1f1
CCCma_CanESM5,ssp245,r1i1p1f1
CCCma_CanESM5,ssp370,r1i1p1f1
CCCma_CanESM5,ssp585,r1i1p1f1
CMCC_CMCC-ESM2,ssp245,r1i1p1f1
CMCC_CMCC-ESM2,ssp370,r1i1p1f1
CMCC_CMCC-ESM2,ssp585,r1i1p1f1
CNRM-CERFACS_CNRM-CM6-1,ssp245,r1i1p1f2
CNRM-CERFACS_CNRM-CM6-1,ssp370,r1i1p1f2
CNRM-CERFACS_CNRM-CM6-1,ssp585,r1i1p1f2
CNRM-CERFACS_CNRM-ESM2-1,ssp245,r1i1p1f2
CNRM-CERFACS_CNRM-ESM2-1,ssp370,r1i1p1f2
CNRM-CERFACS_CNRM-ESM2-1,ssp585,r1i1p1f2
CSIRO_ACCESS-ESM1-5,ssp245,r1i1p1f1
CSIRO_ACCESS-ESM1-5,ssp370,r1i1p1f1
CSIRO_ACCESS-ESM1-5,ssp585,r1i1p1f1
CSIRO-ARCCSS_ACCESS-CM2,ssp245,r1i1p1f1
CSIRO-ARCCSS_ACCESS-CM2,ssp370,r1i1p1f1
CSIRO-ARCCSS_ACCESS-CM2,ssp585,r1i1p1f1
EC-Earth-Consortium_EC-Earth3,ssp245,r1i1p1f1
EC-Earth-Consortium_EC-Earth3,ssp370,r1i1p1f1
EC-Earth-Consortium_EC-Earth3,ssp585,r1i1p1f1
EC-Earth-Consortium_EC-Earth3-CC,ssp245,r1i1p1f1
EC-Earth-Consortium_EC-Earth3-CC,ssp585,r1i1p1f1
EC-Earth-Consortium_EC-Earth3-Veg,ssp245,r1i1p1f1
EC-Earth-Consortium_EC-Earth3-Veg,ssp370,r1i1p1f1
EC-Earth-Consortium_EC-Earth3-Veg,ssp585,r1i1p1f1
INM_INM-CM4-8,ssp245,r1i1p1f1
INM_INM-CM4-8,ssp370,r1i1p1f1
INM_INM-CM4-8,ssp585,r1i1p1f1
INM_INM-CM5-0,ssp245,r1i1p1f1
INM_INM-CM5-0,ssp370,r1i1p1f1
INM_INM-CM5-0,ssp585,r1i1p1f1
IPSL_IPSL-CM6A-LR,ssp245,r1i1p1f1
IPSL_IPSL-CM6A-LR,ssp370,r1i1p1f1
IPSL_IPSL-CM6A-LR,ssp585,r1i1p1f1
MIROC_MIROC6,ssp245,r1i1p1f1
MIROC_MIROC6,ssp370,r1i1p1f1
MIROC_MIROC6,ssp585,r1i1p1f1
MIROC_MIROC-ES2L,ssp245,r1i1p1f2
MIROC_MIROC-ES2L,ssp370,r1i1p1f2
MIROC_MIROC-ES2L,ssp585,r1i1p1f2
MOHC_UKESM1-0-LL,ssp245,r1i1p1f2
MOHC_UKESM1-0-LL,ssp370,r1i1p1f2
MOHC_UKESM1-0-LL,ssp585,r1i1p1f2
MPI-M_MPI-ESM1-2-HR,ssp245,r1i1p1f1
MPI-M_MPI-ESM1-2-HR,ssp370,r1i1p1f1
MPI-M_MPI-ESM1-2-HR,ssp585,r1i1p1f1
MPI-M_MPI-ESM1-2-LR,ssp245,r1i1p1f1
MPI-M_MPI-ESM1-2-LR,ssp370,r1i1p1f1
MPI-M_MPI-ESM1-2-LR,ssp585,r1i1p1f1
MRI_MRI-ESM2-0,ssp245,r1i1p1f1
MRI_MRI-ESM2-0,ssp370,r1i1p1f1
MRI_MRI-ESM2-0,ssp585,r1i1p1f1
NCC_NorESM2-LM,ssp245,r1i1p1f1
NCC_NorESM2-LM,ssp370,r1i1p1f1
NCC_NorESM2-LM,ssp585,r1i1p1f1
NCC_NorESM2-MM,ssp245,r1i1p1f1
NCC_NorESM2-MM,ssp370,r1i1p1f1
NCC_NorESM2-MM,ssp585,r1i1p1f1
NIMS-KMA_KACE-1-0-G,ssp245,r1i1p1f1
NIMS-KMA_KACE-1-0-G,ssp370,r1i1p1f1
NIMS-KMA_KACE-1-0-G,ssp585,r1i1p1f1
NOAA-GFDL_GFDL-ESM4,ssp245,r1i1p1f1
NOAA-GFDL_GFDL-ESM4,ssp370,r1i1p1f1
NOAA-GFDL_GFDL-ESM4,ssp585,r1i1p1f1
NUIST_NESM3,ssp245,r1i1p1f1
NUIST_NESM3,ssp585,r1i1p1f1
